inputName,outputName
Astragalus missouriensis var. amphibolus,Astragalus missouriensis var. amphibolus
Astragalus missouriensis var. humistratus,Astragalus missouriensis var. humistratus
Astragalus missouriensis var. missouriensis,Astragalus missouriensis var. missouriensis
Astragalus mollissimus,Astragalus mollissimus
Astragalus mollissimus var. thompsoniae,Astragalus thompsoniae 
Astragalus molybdenus,Astragalus molybdenus
Astragalus monumentalis,Astragalus monumentalis var. cottamii
Astragalus monumentalis var. cottamii,Astragalus monumentalis var. cottamii
Astragalus musiniensis,Astragalus musiniensis
Astragalus naturitensis,Astragalus naturitensis
Astragalus nelsonianus,Astragalus pectinatus var. platyphyllus
Astragalus newberryi,Astragalus newberryi var. newberryi
Astragalus newberryi var. newberryi,Astragalus newberryi var. newberryi
Astragalus nuttallianus var. micranthemiformis,Astragalus nuttallianus var. micranthiformis
Astragalus nuttallianus var. micranthiformis,Astragalus nuttallianus var. micranthiformis
Astragalus oöcalycis,Astragalus oocalycis
Astragalus oöphorus var. caulescens,Astragalus oophorus var. caulescens
Astragalus oocalycis,Astragalus oocalycis
Astragalus oophorus var. caulescens,Astragalus oophorus var. caulescens
Astragalus osterhoutii,Astragalus osterhoutii
Astragalus parryi,Astragalus parryi
Astragalus pattersonii,Astragalus pattersonii
Astragalus pectinatus,Astragalus pectinatus
Astragalus pectinatus var. pectinatus,Astragalus pectinatus var. pectinatus
Astragalus pectinatus var. platyphyllus,Astragalus pectinatus var. platyphyllus
Astragalus piscator,Astragalus piscator
Astragalus plattensis,Astragalus plattensis
Astragalus praelongus,Astragalus praelongus
Astragalus praelongus var. lonchopus,Astragalus praelongus var. lonchopus
Astragalus praelongus var. praelongus,Astragalus praelongus var. praelongus
Astragalus preussii,Astragalus preussii
Astragalus proximus,Astragalus proximus
Astragalus pubentissimus,Astragalus pubentissimus
Astragalus puniceus,Astragalus puniceus var. puniceus
Astragalus puniceus var. puniceus,Astragalus puniceus var. puniceus
Astragalus purshii,Astragalus purshii var. purshii
Astragalus purshii var. purshii,Astragalus purshii var. purshii
Astragalus racemosus,Astragalus racemosus
Astragalus racemosus var. racemosus,Astragalus racemosus var. racemosus
Astragalus racemosus var. treleasei,Astragalus racemosus var. treleasei
Astragalus rafaelensis,Astragalus rafaelensis
Astragalus ripleyi,Astragalus ripleyi
Astragalus robbinsii var. minor,Astragalus robbinsii var. minor
Astragalus saurinus,Astragalus saurinus
Astragalus schmolliae,Astragalus schmolliae
Astragalus scopulorum,Astragalus scopulorum
Astragalus sericoleucus,Astragalus sericoleucus
Astragalus sesquiflorus,Astragalus sesquiflorus
Astragalus shortianus,Astragalus shortianus
Astragalus sparsiflorus,Astragalus sparsiflorus
Astragalus sparsiflorus var. majusculus,Astragalus sparsiflorus var. majusculus
Astragalus sparsiflorus var. sparsiflorus,Astragalus sparsiflorus var. sparsiflorus
Astragalus spatulatus,Astragalus spatulatus
Astragalus tenellus,Astragalus tenellus
Astragalus thompsoniae,Astragalus thompsoniae 
Astragalus tortipes,Astragalus tortipes
Astragalus tridactylicus,Astragalus tridactylicus
Astragalus wetherillii,Astragalus wetherillii
Astragalus wingatanus,Astragalus wingatanus
Astragalus wootonii,Astragalus allochrous var. playanus
Astrolepis cochisensis ssp. cochisensis,Astrolepis cochisensis ssp. cochisensis
Astrolepis integerrima,Astrolepis integerrima
Athyrium alpestre var. americanum,Athyrium distentifolium
Athyrium distentifolium,Athyrium distentifolium
Athyrium distentifolium ssp. americanum,Athyrium distentifolium
Athyrium filix-femina,Athyrium filix-femina var. californicum
Athyrium filix-femina var. californicum,Athyrium filix-femina var. californicum
Atragene columbiana,Clematis columbiana var. columbiana
Atragene occidentalis,Clematis grosseserrata
Atriplex argentea,Atriplex argentea
Atriplex canescens,Atriplex canescens
Atriplex confertifolia,Atriplex confertifolia
Atriplex corrugata,Atriplex corrugata
Atriplex dioica,Atriplex subspicata
Atriplex gardneri,Atriplex gardneri
Atriplex graciliflora,Atriplex graciliflora
Atriplex grayi,Grayia spinosa
Atriplex heterosperma,Atriplex micrantha
Atriplex hortensis,Atriplex hortensis
Atriplex obovata,Atriplex obovata
Atriplex patula,Atriplex patula
Atriplex pleiantha,Proatriplex pleiantha
Atriplex powellii,Atriplex powellii
Atriplex rosea,Atriplex rosea
Atriplex saccaria,Atriplex saccaria
Atriplex subspicata,Atriplex subspicata
Atriplex suckleyi,Stutzia dioica
Atriplex truncata,Atriplex truncata
Atriplex wolfii,Atriplex wolfii
Atriplex wolfii var. tenuissima,Atriplex tenuissima
